make_model,body_type,price,km,hp,Type,Upholstery,Displacement,Fuel,Comfort_Convenience,Extras,Safety_Security,First_Registration,Body_Color,door_numbers,seat_numbers,Gearing_Type,consumption_comb,consumption_city,co2_emission
Audi A1,Sedans,15980,0,70,New,Black,1.197,BENZINE,5,1,12,2019.0,Black,4.0,5,Manual,4.2,5.0,97
Audi A1,Compact,27980,0,85,New,"Cloth, Black",0.999,BENZINE,14,1,11,2019.0,Grey,5.0,5,Automatic,4.8,5.9,110
Audi A3,Sedans,20450,14541,85,Employee's car,"Part leather, Black",1.598,DIESEL,12,1,11,2018.0,Blue,4.0,5,Manual,4.1,4.6,108
Renault Clio,Sedans,10300,1,55,Pre-registered,Other,1.461,DIESEL,2,1,9,2019.0,Blue,4.0,5,Manual,3.6,4.3,95
Opel Insignia,Sedans,20200,32300,121,Used,"Cloth, Grey",1.49,BENZINE,22,5,19,2017.0,Grey,4.0,5,Automatic,6.1,7.5,138
Opel Corsa,Compact,10290,5,51,Pre-registered,"Cloth, Black",1.229,BENZINE,5,2,12,2019.0,White,5.0,5,Manual,5.5,7.2,129
Audi A1,Sedans,14500,15000,70,Used,Other,0.999,BENZINE,8,2,11,2018.0,Black,4.0,4,Manual,4.2,5.0,97
Opel Astra,Sedans,15000,21628,77,Used,"Cloth, Grey",0.998,BENZINE,10,1,6,2018.0,Grey,4.0,5,Manual,4.4,5.2,102
Audi A3,Sedans,20900,27350,85,Used,Other,1.598,DIESEL,3,2,11,2018.0,White,4.0,5,Manual,4.0,4.5,106
Opel Insignia,Station wagon,18990,21767,74,Used,Other,1.598,DIESEL,19,1,69,2018.0,White,5.0,5,Manual,4.5,5.3,119
Opel Astra,Sedans,16977,0,77,New,"Cloth, Black",0.999,BENZINE,18,3,13,2019.0,White,4.0,5,Manual,4.7,5.5,107
Opel Insignia,Station wagon,33450,10,147,New,"Part leather, Black",1.6,BENZINE,23,7,19,2019.0,Blue,5.0,5,Automatic,6.4,8.2,147
Opel Corsa,Compact,13290,5744,66,Used,"Cloth, Black",1.398,BENZINE,15,3,13,2018.0,Blue,5.0,5,Automatic,6.0,7.8,140
Renault Espace,Station wagon,25980,53000,147,Used,Other,1.618,BENZINE,26,3,15,2016.0,Violet,5.0,5,Automatic,5.3,6.2,140
Opel Corsa,Compact,11200,10,51,Pre-registered,"Cloth, Black",1.229,BENZINE,6,1,13,2019.0,Silver,5.0,5,Manual,5.3,6.6,124
Opel Corsa,Sedans,8600,60400,51,Used,"Cloth, Other",1.229,BENZINE,8,2,10,2017.0,Grey,4.0,5,Manual,5.3,6.6,124
Opel Insignia,Station wagon,13000,134000,51,Used,Other,1.956,DIESEL,11,2,10,2016.0,Grey,5.0,5,Manual,4.3,5.5,114
Audi A1,Compact,22850,0,85,New,"Cloth, Black",0.999,BENZINE,14,2,14,2019.0,White,5.0,5,Manual,4.9,6.0,111
Opel Astra,Station wagon,25575,0,147,New,"Part leather, Other",1.598,BENZINE,12,2,14,2019.0,Silver,5.0,5,Automatic,6.7,8.7,154
Opel Corsa,Sedans,10990,19200,66,Employee's car,"Cloth, Other",1.398,BENZINE,15,3,14,2019.0,White,4.0,5,Manual,5.6,7.0,133
Opel Corsa,Compact,17490,2500,66,New,"Cloth, Black",1.398,BENZINE,15,2,13,2019.0,White,5.0,5,Automatic,5.2,6.8,120
Audi A1,Sedans,28500,0,85,New,"Cloth, Black",0.999,BENZINE,19,1,69,2019.0,White,4.0,4,Automatic,4.8,5.8,108
Renault Clio,Station wagon,8490,49178,54,Used,"Cloth, Grey",1.149,BENZINE,9,3,7,2016.0,White,5.0,5,Manual,5.4,6.8,126
Opel Insignia,Sedans,19990,22900,100,Used,Black,1.598,DIESEL,17,2,15,2018.0,White,4.0,5,Automatic,4.3,5.1,114
Audi A3,Compact,17899,94836,82,Used,"Cloth, Black",1.598,DIESEL,14,1,18,2016.0,Black,5.0,5,Automatic,3.9,4.4,99
Audi A1,Sedans,35900,200,85,Pre-registered,"Part leather, Black",0.999,BENZINE,15,4,21,2019.0,Grey,4.0,5,Semi-automatic,4.8,5.8,108
Opel Astra,Sedans,15425,15999,92,Used,"Cloth, Black",1.4,BENZINE,16,3,16,2018.0,Brown,4.0,5,Manual,5.1,6.3,117
Opel Corsa,Compact,13490,11000,66,Used,Cloth,1.398,BENZINE,15,3,14,2018.0,Black,5.0,5,Automatic,5.9,7.5,136
Audi A1,Compact,16850,15757,70,Used,"Cloth, Other",0.999,BENZINE,13,4,13,2018.0,White,5.0,5,Manual,4.4,5.2,102
Audi A3,Sedans,21200,50200,85,Used,"Cloth, Black",1.598,DIESEL,14,1,10,2017.0,Grey,4.0,5,Automatic,3.9,4.1,103
Opel Astra,Sedans,15750,28100,77,Used,"Cloth, Black",0.999,BENZINE,16,1,14,2016.0,White,4.0,5,Semi-automatic,4.5,5.7,104
Opel Insignia,Station wagon,9480,145444,100,Used,"Cloth, Grey",1.598,DIESEL,13,4,11,2016.0,White,5.0,5,Automatic,5.1,6.5,114
Opel Insignia,Station wagon,12300,120810,125,Used,"Cloth, Other",1.956,DIESEL,22,4,17,2016.0,Black,5.0,5,Manual,4.7,5.8,124
Audi A1,Station wagon,21450,5962,92,Used,"Cloth, Black",1.395,BENZINE,16,3,12,2018.0,Blue,5.0,5,Automatic,4.9,6.2,112
Audi A1,Compact,20288,10,85,New,"Cloth, Black",0.999,BENZINE,10,1,12,2019.0,Black,5.0,5,Manual,4.9,6.0,111
Audi A1,Compact,13990,26300,70,Used,"Cloth, Black",0.999,BENZINE,12,1,15,2016.0,Red,5.0,5,Manual,4.4,5.2,104
Opel Insignia,Off-Road,31505,0,125,New,Other,1.956,DIESEL,19,1,69,2019.0,Grey,5.0,5,Automatic,6.0,7.0,150
Opel Astra,Station wagon,15190,28984,100,Employee's car,"Cloth, Black",1.598,DIESEL,17,2,18,2018.0,Black,5.0,5,Manual,3.8,4.5,101
Opel Insignia,Sedans,16990,19488,100,Used,"Cloth, Black",1.598,DIESEL,14,3,19,2018.0,Brown,4.0,5,Manual,4.3,5.1,114
Audi A1,Compact,15990,39600,66,Used,"Cloth, Black",1.422,DIESEL,16,2,14,2017.0,Blue,5.0,4,Manual,3.9,4.3,102
Audi A3,Convertible,56100,8364,228,Used,"Part leather, Black",1.984,BENZINE,15,4,11,2018.0,Blue,2.0,5,Semi-automatic,7.1,9.0,153
Opel Corsa,Compact,8790,25746,55,Used,"Cloth, Black",1.398,BENZINE,7,1,15,2018.0,Grey,5.0,5,Manual,5.8,7.4,133
Audi A3,Sedans,23988,10,110,New,Cloth,1.498,BENZINE,16,3,13,2019.0,Red,4.0,5,Manual,5.5,6.9,125
Opel Astra,Station wagon,15990,111,77,Pre-registered,Cloth,0.999,BENZINE,6,2,11,2019.0,Red,5.0,5,Manual,4.6,5.5,107
Opel Astra,Sedans,15950,34471,100,Used,"Part leather, Grey",1.598,DIESEL,18,4,15,2016.0,Grey,4.0,5,Automatic,4.5,5.7,119
Renault Clio,Sedans,15400,36780,66,Used,Other,1.461,DIESEL,10,1,7,2017.0,Black,4.0,5,Automatic,3.5,3.9,92
Opel Astra,Station wagon,17450,5508,77,Used,"Cloth, Black",0.999,BENZINE,9,1,13,2019.0,Black,5.0,5,Manual,4.5,5.7,104
Audi A1,Sedans,23900,10,85,New,Other,0.999,BENZINE,8,1,5,2019.0,Grey,4.0,5,Automatic,4.8,5.9,108
Renault Clio,Sedans,8450,84000,55,Used,Other,1.461,DIESEL,3,1,9,2016.0,Red,4.0,5,Manual,3.6,4.3,85
Opel Corsa,Compact,13663,10,66,New,Cloth,1.398,BENZINE,10,1,11,2019.0,Grey,5.0,5,Automatic,6.3,7.8,143
Opel Insignia,Sedans,17980,20209,100,Used,"Part leather, Black",1.598,DIESEL,20,3,18,2018.0,Grey,4.0,5,Manual,4.3,5.1,114
Renault Clio,Compact,5938,156692,55,Used,Cloth,1.461,DIESEL,8,1,9,2016.0,White,5.0,2,Manual,3.3,3.5,85
Opel Astra,Other,14490,12230,92,Used,Other,1.399,BENZINE,19,1,69,2018.0,Silver,4.0,5,Manual,5.1,6.3,117
Opel Corsa,Sedans,9900,20000,55,Employee's car,"Cloth, Black",1.398,BENZINE,7,1,11,2018.0,Silver,4.0,5,Manual,5.1,6.7,118
Audi A1,Compact,14430,13990,70,Used,"Cloth, Black",0.999,BENZINE,10,3,13,2017.0,White,5.0,5,Manual,4.2,5.0,97
Audi A3,Sedans,20990,8430,85,Used,"Cloth, Black",0.999,BENZINE,12,1,13,2018.0,Black,4.0,5,Manual,4.4,5.5,103
Renault Clio,Sedans,16090,10,66,Used,Other,1.461,DIESEL,9,1,11,2018.0,Black,4.0,5,Automatic,3.2,3.3,82
Opel Insignia,Sedans,18990,16000,100,Used,"Part leather, Black",1.598,DIESEL,18,4,17,2018.0,Grey,4.0,5,Manual,4.3,5.1,114
Opel Corsa,Compact,11250,100,51,Pre-registered,Cloth,1.229,BENZINE,5,1,11,2019.0,White,5.0,5,Manual,5.6,7.3,129
Renault Clio,Station wagon,10450,27500,66,Employee's car,Cloth,1.461,DIESEL,8,1,10,2018.0,Grey,5.0,5,Manual,3.3,3.7,85
Renault Espace,Van,44999,50,147,Demonstration,Other,1.997,DIESEL,6,1,2,2019.0,Black,5.0,5,Automatic,5.3,6.2,168
Opel Insignia,Station wagon,17450,50908,100,Used,"Cloth, Black",1.598,DIESEL,16,2,16,2016.0,Black,5.0,5,Automatic,5.1,6.5,129
Opel Corsa,Other,8490,23225,66,Used,Other,1.398,BENZINE,19,1,69,2018.0,Grey,4.0,5,Manual,5.2,6.9,120
Opel Astra,Sedans,13480,14024,74,Used,"Cloth, Black",1.399,BENZINE,10,2,12,2018.0,Silver,4.0,5,Manual,5.4,7.3,128
Opel Astra,Sedans,18990,5000,77,Demonstration,Cloth,0.999,BENZINE,13,2,12,2019.0,Red,4.0,5,Manual,4.7,5.5,107
Audi A3,Sedans,23500,300,85,Pre-registered,"Cloth, Black",0.999,BENZINE,12,2,16,2019.0,Black,4.0,5,Automatic,4.6,5.5,106
Audi A3,Sedans,18460,61900,110,Used,"Cloth, Black",1.395,BENZINE,18,5,16,2016.0,Black,4.0,5,Automatic,4.7,5.7,110
Renault Espace,Station wagon,33500,11000,165,Demonstration,"Full leather, Other",1.798,BENZINE,16,2,14,2017.0,Grey,5.0,7,Automatic,6.8,8.7,153
Opel Corsa,Compact,7900,82000,66,Used,Other,1.398,BENZINE,19,1,69,2016.0,Black,5.0,5,Manual,5.0,6.0,110
Opel Corsa,Sedans,7180,87429,51,Used,Other,1.229,BENZINE,6,2,10,2016.0,Black,4.0,5,Manual,5.3,6.6,124
Opel Astra,Compact,16900,10182,74,Used,Other,0.998,DIESEL,19,1,69,2019.0,Black,5.0,5,Manual,3.9,5.8,117
Audi A3,Sedans,20290,0,85,New,"Cloth, Black",0.999,BENZINE,7,1,13,2019.0,White,4.0,5,Manual,4.5,4.3,104
Audi A1,Compact,17998,72624,92,Used,"Part leather, Black",1.395,BENZINE,18,3,15,2016.0,Grey,5.0,5,Automatic,5.2,6.7,123
Opel Astra,Station wagon,16990,31900,110,Used,"Cloth, Black",1.399,BENZINE,20,2,16,2018.0,Silver,5.0,5,Automatic,5.6,7.3,128
Audi A1,Sedans,26830,5000,85,Employee's car,"Cloth, Black",0.999,BENZINE,11,4,15,2019.0,Blue,4.0,5,Automatic,4.8,5.9,110
Renault Clio,Sedans,10699,18784,55,Used,"Cloth, Other",1.461,DIESEL,8,2,15,2018.0,Black,4.0,5,Manual,4.0,4.5,104
Audi A1,Sedans,15890,54846,66,Used,"Cloth, Grey",1.422,DIESEL,11,2,12,2017.0,Beige,4.0,5,Manual,3.7,4.2,97
Opel Insignia,Station wagon,24490,19166,121,Used,"Cloth, Grey",1.5,BENZINE,20,6,15,2018.0,Black,5.0,5,Automatic,6.1,7.8,140
Audi A1,Compact,26300,10,85,New,"Cloth, Black",0.999,BENZINE,6,1,9,2019.0,White,5.0,4,Automatic,4.4,5.4,108
Audi A3,Sedans,21490,58900,110,Used,"Cloth, Black",1.968,DIESEL,16,5,15,2018.0,Black,4.0,5,Automatic,4.4,5.2,114
Opel Insignia,Station wagon,14840,49986,103,Used,"Cloth, Black",1.364,BENZINE,15,2,12,2016.0,Beige,5.0,5,Manual,5.6,7.3,131
Opel Insignia,Compact,32995,20000,121,Demonstration,"Part leather, Black",1.49,BENZINE,15,1,6,2019.0,White,5.0,5,Manual,5.7,7.3,130
Audi A3,Station wagon,19990,9108,110,Used,"Cloth, Black",1.968,DIESEL,15,1,16,2018.0,Grey,5.0,5,Manual,4.4,5.2,111
Audi A3,Sedans,17500,80000,81,Used,Other,1.598,DIESEL,14,2,16,2016.0,Grey,4.0,5,Semi-automatic,3.8,4.3,99
Opel Corsa,Sedans,13324,5,66,New,"Cloth, Black",1.398,BENZINE,6,2,9,2019.0,Blue,4.0,5,Automatic,7.8,5.8,143
Renault Clio,Other,8900,45941,55,Used,Other,1.461,DIESEL,3,1,9,2017.0,White,4.0,2,Manual,3.3,3.5,85
Opel Astra,Station wagon,18850,29900,110,Used,"Cloth, Black",1.399,BENZINE,19,5,15,2018.0,Black,5.0,5,Automatic,5.1,6.3,128
Audi A3,Sedans,19740,55379,110,Used,"Cloth, Black",1.968,DIESEL,11,1,15,2017.0,Black,4.0,5,Manual,4.0,4.9,105
Opel Insignia,Sedans,13150,87000,125,Used,Other,1.956,DIESEL,5,1,9,2017.0,Grey,4.0,5,Automatic,5.6,8.6,147
Opel Corsa,Sedans,9495,22182,51,Used,"Cloth, Black",1.229,BENZINE,5,1,8,2018.0,White,4.0,5,Manual,5.4,6.7,124
Audi A1,Sedans,16920,27600,66,Used,"Cloth, Black",1.422,DIESEL,16,2,13,2018.0,Black,4.0,5,Manual,3.9,4.5,102
Audi A3,Station wagon,15990,47786,81,Used,Cloth,1.598,DIESEL,14,2,12,2016.0,White,5.0,5,Manual,3.9,4.6,104
Audi A1,Sedans,17700,24550,70,Used,Other,0.999,BENZINE,4,1,10,2017.0,Grey,4.0,5,Automatic,4.4,5.4,102
Renault Clio,Compact,15690,100,88,Pre-registered,Other,1.197,BENZINE,13,1,5,2018.0,Red,5.0,5,Automatic,5.0,6.8,120
Renault Espace,Van,47950,10,147,New,"Full leather, Grey",1.997,DIESEL,19,2,15,2019.0,Black,5.0,5,Automatic,5.3,6.2,139
Opel Corsa,Sedans,10990,21900,66,Used,"Cloth, Grey",1.398,BENZINE,6,1,10,2018.0,Grey,4.0,5,Automatic,4.7,5.8,110
Opel Insignia,Sedans,28055,0,121,New,"Cloth, Other",1.49,BENZINE,17,3,21,2019.0,Grey,4.0,5,Manual,5.5,6.9,126
Opel Insignia,Station wagon,25845,0,81,New,"Cloth, Other",1.598,DIESEL,15,4,16,2019.0,Grey,5.0,5,Manual,4.6,5.4,121
Audi A1,Sedans,26830,5000,85,Employee's car,"Cloth, Black",0.999,BENZINE,10,4,15,2019.0,Black,4.0,5,Automatic,4.8,5.9,110
Renault Espace,Other,17500,118596,118,Used,"Part leather, Grey",1.598,DIESEL,18,3,15,2016.0,Grey,4.0,5,Automatic,4.7,5.1,120
Opel Insignia,Sedans,37980,6,121,Demonstration,"Full leather, Black",1.49,BENZINE,24,4,19,2019.0,Grey,4.0,5,Automatic,6.1,7.7,141
Opel Corsa,Sedans,8800,66000,55,Used,"Cloth, Black",1.248,DIESEL,8,1,14,2017.0,Silver,4.0,5,Manual,3.8,4.6,101
Renault Espace,Transporter,27000,8500,118,Used,Other,1.598,DIESEL,19,1,1,2017.0,Silver,5.0,5,Semi-automatic,4.7,5.1,120
Audi A3,Sedans,21450,25778,85,Used,"Cloth, Black",1.598,DIESEL,13,2,13,2017.0,Silver,4.0,4,Automatic,4.1,4.7,109
Renault Clio,Sedans,7490,87000,55,Used,Other,1.461,DIESEL,3,1,9,2016.0,White,4.0,5,Manual,3.6,4.3,85
Renault Clio,Sedans,9999,9733,54,Used,"Cloth, Black",1.149,BENZINE,8,1,13,2018.0,White,4.0,5,Manual,5.6,7.2,133
Opel Corsa,Compact,15450,50,66,Pre-registered,Cloth,1.398,BENZINE,17,1,13,2019.0,Black,5.0,5,Automatic,6.3,7.8,143
Renault Clio,Compact,10390,0,55,Pre-registered,Other,0.898,BENZINE,4,1,9,2019.0,Grey,5.0,5,Manual,5.0,6.3,113
Audi A3,Sedans,19799,19500,81,Used,Other,1.598,DIESEL,11,1,7,2017.0,Blue,4.0,5,Manual,3.8,4.3,99
Opel Insignia,Sedans,11650,99950,100,Used,Other,1.598,DIESEL,6,1,9,2017.0,Grey,4.0,5,Automatic,4.9,6.4,129
Audi A1,Sedans,13794,32264,70,Used,"Cloth, Black",0.999,BENZINE,12,1,12,2016.0,Red,4.0,5,Manual,4.4,5.2,102
Audi A3,Sedans,12950,149999,81,Used,"Cloth, Black",1.598,DIESEL,15,6,15,2016.0,Red,4.0,5,Manual,3.8,4.5,101
Opel Corsa,Compact,7800,133081,55,Used,"Cloth, Grey",1.398,DIESEL,3,1,7,2016.0,White,5.0,5,Manual,4.7,5.8,117
Opel Corsa,Sedans,7790,103000,66,Employee's car,"Cloth, Black",1.398,BENZINE,2,1,9,2016.0,Silver,4.0,5,Automatic,5.1,6.5,120
Opel Insignia,Station wagon,24490,21600,122,Used,"Part leather, Black",1.49,BENZINE,20,5,20,2018.0,Grey,5.0,5,Automatic,6.2,7.6,141
Opel Corsa,Compact,8990,74700,66,Used,"Cloth, Black",1.398,BENZINE,7,1,11,2017.0,Grey,5.0,5,Manual,5.2,6.6,123
Renault Clio,Sedans,8790,45369,66,Used,Black,1.149,BENZINE,5,1,4,2017.0,White,4.0,5,Manual,3.3,3.5,117
Renault Espace,Van,33975,15,146,Pre-registered,"Part leather, Black",1.997,DIESEL,17,1,18,2019.0,White,5.0,7,Automatic,5.3,6.2,139
Opel Insignia,Station wagon,38990,100,125,Demonstration,"Full leather, Black",1.956,DIESEL,22,5,15,2019.0,Black,5.0,5,Automatic,5.5,7.3,145
Opel Insignia,Sedans,12450,40000,103,Used,Black,1.364,BENZINE,7,1,11,2016.0,Grey,4.0,5,Manual,5.3,7.0,124
Opel Astra,Station wagon,33780,2,147,New,"Full leather, Black",1.598,BENZINE,25,4,17,2019.0,Black,5.0,5,Automatic,6.7,8.7,154
Audi A1,Sedans,14750,100800,60,Used,Full leather,0.999,BENZINE,12,2,6,2017.0,Green,4.0,4,Manual,4.2,5.0,97
Renault Clio,Station wagon,10700,8000,55,Employee's car,"Cloth, Other",1.461,DIESEL,7,1,10,2018.0,Beige,5.0,5,Manual,4.1,4.5,108
Opel Insignia,Sedans,23980,24677,125,Used,"Part leather, Black",1.956,DIESEL,21,3,21,2018.0,Black,4.0,5,Automatic,5.2,6.7,138
Opel Astra,Station wagon,16500,67000,100,Employee's car,Other,1.598,DIESEL,9,1,11,2017.0,White,5.0,5,Automatic,4.6,5.8,122
Opel Insignia,Station wagon,19590,30896,100,Used,"Cloth, Black",1.598,DIESEL,17,4,18,2018.0,Blue,5.0,5,Manual,4.5,5.3,112
Opel Astra,Sedans,24950,0,147,New,"Part leather, Black",1.6,BENZINE,22,6,17,2019.0,Grey,4.0,5,Automatic,6.4,8.5,146
Opel Corsa,Compact,13480,4193,66,Used,"Cloth, Black",1.398,BENZINE,10,1,12,2018.0,Grey,5.0,5,Automatic,6.4,8.1,149
Opel Insignia,Sedans,35999,100,149,Used,Other,1.599,BENZINE,6,1,6,2019.0,Black,4.0,5,Manual,6.3,8.0,145
Opel Astra,Sedans,18250,12835,110,Used,"Cloth, Black",1.399,BENZINE,14,1,11,2018.0,Grey,4.0,5,Automatic,5.4,7.1,124
Audi A3,Sedans,17490,74000,81,Used,"Cloth, Grey",1.598,DIESEL,12,2,13,2017.0,Black,4.0,5,Manual,3.8,4.5,99
Audi A3,Sedans,15500,78000,81,Used,Other,1.598,DIESEL,14,1,13,2016.0,Black,4.0,5,Manual,3.8,4.5,99
Renault Clio,Sedans,7900,19282,55,Used,Other,1.461,DIESEL,3,1,9,2017.0,White,4.0,2,Manual,3.3,3.5,85
Audi A1,Sedans,18500,33500,92,Used,"Cloth, Grey",1.395,BENZINE,15,3,14,2017.0,Red,4.0,5,Automatic,4.9,6.2,112
Renault Clio,Sedans,8400,35305,55,Used,Other,1.149,BENZINE,3,1,3,2016.0,Grey,4.0,5,Manual,5.6,7.2,127
Opel Astra,Station wagon,17880,14478,110,Used,Cloth,1.399,BENZINE,17,2,15,2019.0,Brown,5.0,5,Manual,5.5,7.2,130
Audi A3,Sedans,18339,46776,81,Used,"Cloth, Black",1.197,BENZINE,12,3,16,2016.0,White,4.0,5,Automatic,4.8,5.9,110
Opel Astra,Sedans,17990,31494,100,Used,"Cloth, Black",1.598,DIESEL,19,4,16,2018.0,Black,4.0,5,Automatic,4.5,5.7,119
Audi A3,Sedans,18500,70000,81,Used,"Cloth, Beige",1.598,DIESEL,10,2,10,2016.0,White,4.0,5,Automatic,3.8,4.3,99
Opel Corsa,Sedans,8950,45000,51,Used,"Cloth, Black",1.229,BENZINE,7,1,11,2017.0,White,4.0,5,Manual,5.3,6.6,124
Opel Astra,Sedans,24989,4999,110,Demonstration,"Cloth, Black",1.399,BENZINE,22,1,19,2019.0,Black,4.0,5,Automatic,5.4,7.1,124
Audi A3,Sedans,24850,10,85,Employee's car,"Cloth, Black",1.598,DIESEL,17,4,18,2019.0,White,4.0,5,Manual,4.4,5.0,114
Audi A1,Sedans,13430,58500,70,Used,"Cloth, Black",0.999,BENZINE,5,2,12,2016.0,Black,4.0,4,Manual,4.2,5.0,97
Renault Espace,Van,35880,99,165,Pre-registered,Other,1.798,BENZINE,13,1,15,2019.0,Grey,5.0,5,Automatic,7.4,9.6,175
Audi A1,Sedans,16390,22100,66,Used,"Cloth, Black",1.422,DIESEL,17,3,13,2018.0,Black,4.0,5,Manual,3.9,4.5,102
Audi A3,Sedans,23500,9868,85,Used,Other,0.999,BENZINE,19,1,69,2018.0,White,4.0,5,Automatic,5.1,5.8,117
Audi A3,Sedans,15460,144450,110,Used,"Cloth, Black",1.968,DIESEL,15,4,14,2016.0,White,4.0,5,Manual,4.1,5.0,109
Opel Corsa,Sedans,8200,25000,51,Used,Other,1.229,BENZINE,5,1,12,2017.0,Grey,4.0,5,Manual,5.6,7.2,128
Audi A1,Compact,22290,4000,85,Demonstration,"Cloth, Black",0.999,BENZINE,12,2,15,2019.0,Grey,5.0,5,Manual,4.9,6.0,111
Audi A3,Sedans,26200,100,85,Used,Other,1.598,DIESEL,10,1,11,2019.0,Black,4.0,5,Automatic,3.9,4.1,103
Audi A3,Sedans,27500,61000,110,Used,Other,1.968,DIESEL,4,1,8,2016.0,Grey,4.0,5,Semi-automatic,4.5,5.3,118
Opel Astra,Station wagon,12850,67000,100,Used,Other,1.598,DIESEL,6,1,9,2017.0,Black,5.0,5,Manual,3.9,4.7,104
Audi A1,Compact,15990,1001,60,Used,"Cloth, Black",0.999,BENZINE,4,1,7,2018.0,Black,5.0,4,Manual,4.4,5.2,104
Renault Clio,Sedans,14990,8900,88,Used,"Cloth, Grey",1.197,BENZINE,13,1,7,2016.0,Grey,4.0,5,Automatic,5.4,6.8,120
Opel Corsa,Compact,8880,70000,66,Used,"Cloth, Black",1.398,BENZINE,11,1,13,2018.0,White,5.0,5,Manual,5.2,6.6,120
Audi A1,Compact,16270,12411,60,Used,"Cloth, Black",0.999,BENZINE,12,4,11,2018.0,White,5.0,4,Manual,4.4,5.2,102
Renault Clio,Sedans,10700,11611,55,Used,"Cloth, Black",1.149,BENZINE,7,1,15,2018.0,Silver,4.0,5,Manual,5.6,7.2,127
Opel Insignia,Station wagon,14990,96750,125,Used,"Full leather, Black",1.956,DIESEL,23,6,17,2016.0,Grey,5.0,5,Manual,4.5,5.6,124
Audi A3,Sedans,18530,92246,110,Used,"Cloth, Black",1.968,DIESEL,14,2,14,2017.0,Black,4.0,5,Manual,4.4,5.2,117
Opel Astra,Sedans,25140,10,110,New,"Cloth, Black",1.399,BENZINE,15,3,14,2019.0,Grey,4.0,5,Automatic,5.5,7.3,127
Opel Corsa,Sedans,9850,46000,66,Used,Other,1.398,BENZINE,2,1,10,2017.0,Grey,4.0,5,Semi-automatic,5.2,6.8,120
Audi A3,Other,20200,27249,85,Used,Other,1.598,DIESEL,2,1,5,2018.0,Grey,4.0,4,Manual,4.2,4.7,110
Opel Insignia,Station wagon,20990,29402,121,Employee's car,Cloth,1.5,BENZINE,16,2,16,2018.0,Grey,5.0,5,Manual,6.1,7.6,139
Audi A1,Sedans,15980,52900,66,Used,"Cloth, Black",1.422,DIESEL,17,2,15,2016.0,Grey,4.0,4,Automatic,3.7,4.2,97
Opel Insignia,Station wagon,29995,1,147,Pre-registered,"Full leather, Black",1.598,BENZINE,27,6,19,2019.0,Brown,5.0,5,Automatic,6.5,10.2,172
Renault Espace,Van,37900,14712,118,Used,"Full leather, Black",1.598,DIESEL,28,4,22,2018.0,Black,5.0,7,Automatic,4.7,5.1,120
Opel Astra,Sedans,18250,13440,110,Used,"Cloth, Black",1.399,BENZINE,12,1,3,2018.0,Blue,4.0,5,Automatic,5.4,7.1,124
Opel Astra,Sedans,13490,100900,110,Used,Cloth,1.399,BENZINE,21,1,18,2016.0,Brown,4.0,5,Automatic,5.5,7.2,127
Opel Insignia,Sedans,19290,24500,100,Used,Grey,1.598,DIESEL,18,1,14,2018.0,Grey,4.0,5,Manual,5.1,6.5,114
Opel Corsa,Compact,7460,33550,51,Used,"Cloth, Grey",1.229,BENZINE,4,1,12,2016.0,Red,5.0,5,Manual,5.4,6.7,128
Audi A3,Sedans,20800,20000,85,Used,"Cloth, Black",1.598,DIESEL,14,5,14,2018.0,Black,4.0,5,Manual,4.0,4.7,107
Renault Clio,Station wagon,8490,49178,54,Used,"Cloth, Grey",1.149,BENZINE,9,3,7,2016.0,White,5.0,5,Manual,5.4,6.8,126
Renault Clio,Sedans,9999,10,55,Pre-registered,"Cloth, Grey",0.898,BENZINE,6,1,11,2019.0,White,4.0,5,Manual,5.2,6.5,118
Opel Insignia,Sedans,17900,22457,103,Used,"Cloth, Black",1.49,BENZINE,15,1,18,2017.0,Black,4.0,5,Manual,5.7,7.3,129
Opel Corsa,Sedans,13524,5,66,New,"Cloth, Black",1.398,BENZINE,6,2,9,2019.0,Grey,4.0,5,Automatic,7.8,5.8,143
Renault Clio,Compact,8899,49772,55,Used,Black,1.461,DIESEL,6,1,11,2017.0,White,5.0,5,Manual,3.3,3.5,85
Opel Astra,Station wagon,18300,7500,74,Used,Other,1.598,DIESEL,19,1,69,2019.0,Black,5.0,5,Manual,3.9,4.7,121
Renault Espace,Van,31900,21304,118,Used,Other,1.598,DIESEL,14,1,10,2018.0,White,5.0,5,Automatic,4.7,5.1,120
Audi A3,Sedans,17990,54013,81,Used,"Cloth, Other",1.598,DIESEL,15,5,15,2017.0,White,4.0,5,Manual,4.0,4.5,106
Opel Insignia,Station wagon,23890,23100,125,Used,"Part leather, Black",1.956,DIESEL,20,5,17,2018.0,Grey,5.0,5,Automatic,5.7,7.8,150
Opel Insignia,Station wagon,22789,28854,121,Used,"Part leather, Black",1.49,BENZINE,22,4,18,2018.0,Black,5.0,5,Automatic,6.2,7.7,141
Renault Espace,Van,19900,99000,118,Used,Other,1.598,DIESEL,19,2,13,2016.0,Violet,5.0,5,Automatic,4.6,5.0,120
Renault Clio,Sedans,7999,84108,66,Used,"Cloth, Black",0.898,BENZINE,6,1,10,2016.0,Grey,4.0,5,Manual,4.5,5.6,105
Opel Astra,Sedans,16970,22475,100,Used,Cloth,1.598,DIESEL,15,1,13,2017.0,Beige,4.0,5,Automatic,4.3,5.4,115
